Site_Num,STAID,STANAME,Q_Avg,Q100,Q710,record_length,HYDRO_DISTURB_INDX,BAS_COMPACTNESS,LAT_CENT,DRAIN_SQKM,LAT_GAGE,PPTAVG_BASIN,PPTAVG_SITE,T_AVG_BASIN,T_AVG_SITE,T_MAX_BASIN,T_MAX_SITE,RH_BASIN,RH_SITE,FST32F_BASIN,LST32F_BASIN,FST32SITE,LST32SITE,WD_BASIN,WD_SITE,WDMAX_BASIN,WDMIN_BASIN,WDMAX_SITE,WDMIN_SITE,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,JAN_PPT7100_CM,FEB_PPT7100_CM,MAR_PPT7100_CM,APR_PPT7100_CM,MAY_PPT7100_CM,JUN_PPT7100_CM,JUL_PPT7100_CM,AUG_PPT7100_CM,SEP_PPT7100_CM,OCT_PPT7100_CM,NOV_PPT7100_CM,DEC_PPT7100_CM,APR_TMP7100_DEGC,MAY_TMP7100_DEGC,JUN_TMP7100_DEGC,JUL_TMP7100_DEGC,AUG_TMP7100_DEGC,SEP_TMP7100_DEGC,OCT_TMP7100_DEGC,FLOWYRS_1900_2009,FLOWYRS_1950_2009,STREAMS_KM_SQ_KM,MAINSTEM_SINUOUSITY,BFI_AVE,PERDUN,TOPWET,CONTACT,RUNAVE7100,WB5100_JAN_MM,WB5100_FEB_MM,WB5100_MAR_MM,WB5100_APR_MM,WB5100_MAY_MM,WB5100_JUN_MM,WB5100_JUL_MM,WB5100_AUG_MM,WB5100_SEP_MM,WB5100_OCT_MM,WB5100_NOV_MM,WB5100_DEC_MM,WB5100_ANN_MM,FRESHW_WITHDRAWAL,FRAGUN_BASIN,FORESTNLCD06,DECIDNLCD06,PDEN_2000_BLOCK,NUTR_ECO_SITE,ECO2_BAS_DOM,ECO3_BAS_DOM,ECO3_BAS_PCT,HLR_BAS_PCT_100M,PNV_BAS_DOM,PNV_BAS_PCT,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,NO10AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEAN_M_BASIN,ELEV_MAX_M_BASIN,ELEV_MEDIAN_M_BASIN,RRMEAN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES
11,1306000,PATCHOGUE RIVER AT PATCHOGUE NY,20.43185598,74.5,10.4952537,27,16,2.66,40.816382,36.3,40.765654,124.44,125.05,10.91,10.9,15.83,16,67.1,67,291.2,115.3,292,114,104.3,104,10,7,10,7,699,19.9,0.019,10.78,8.85,11.18,11,10.32,10.27,8.9,11.29,9.4,10.21,11.18,11.05,9.36,14.85,19.91,22.97,22.4,18.58,12.72,27,23,0.12,1.12,86.9,4.7,12.29,71.7,228,56,58.5,91,86.8,60,37.5,22.7,16.9,13.2,22.3,38.4,59.9,563.1,39.8,94.4,11.65,7.21,957.69,14,8.5,84,100,100,54,74.8,0.07,11.93,1.46,0.54,5.3,52.37,75.91,23.07,71.28,4.77,27.48,67.75,0.27,170.98,30.9,96,28,0.314,0.284,1.3,158.7
12,1306440,CONNETQUOT BROOK AT CENTRAL ISLIP NY,6.610301441,43.3,0.708798591,35,17,1.56,40.840678,41.7,40.792598,122.37,122.73,10.99,10.9,15.77,15.8,68,68,297.2,111.6,298,110,102.3,103,9.4,7,9,7,704.5,19.8,0.014,10.56,8.51,11.09,10.87,10.37,9.96,9.03,11.05,9.39,10.03,10.83,10.65,9.33,14.84,19.92,22.95,22.38,18.63,12.76,29,29,0.06,1.09,86.7,5,13.69,94.3,235.6,60.9,61.7,96.2,94.6,66.4,40.6,23.7,16.8,14.7,23.9,43.4,66.8,609.8,39.8,94.6,8.08,5.54,1243.67,14,8.5,84,100,72.6,54,64.6,0.07,11.38,1.47,0.58,4.03,37.62,75.82,25.05,70.98,5.06,30.18,64.75,0.27,163.68,30.4,68,30,0.362,0.356,1.2,174.2
13,1306460,CONNETQUOT BK NR CENTRAL ISLIP NY,26.77262624,372.2,12.00899247,40,16,1.33,40.828946,55.7,40.772043,122.43,122.8,10.97,10.9,15.76,15.8,68,68,297.3,111.3,298,110,102.5,103,9.4,7,10,7,704.1,19.8,0.015,10.61,8.53,11.12,10.85,10.39,9.99,9.03,11.05,9.39,9.99,10.82,10.65,9.32,14.83,19.91,22.97,22.39,18.62,12.77,31,31,0.1,1.29,86.7,5,13.43,90,234.9,60.7,61.7,96.3,94.4,66.3,40.6,23.7,16.8,14.7,23.8,43.4,66.6,609,39.8,91.2,9.96,7.24,1210.03,14,8.5,84,100,79.4,54,65.6,0.07,11.26,1.47,0.58,4.1,38.36,75.99,25.1,71.15,5.07,30.17,64.76,0.27,163.9,28.2,68,28,0.379,0.375,1.1,159.3
14,1306500,CONNETQUOT RIVER NEAR OAKDALE NY,38.78655849,247.1,19.444732,74,15,1.38,40.818171,72.2,40.747598,122.58,122.82,10.95,10.9,15.77,15.9,68,68,297.1,111.2,297,110,102.6,104,9.5,7,10,7,703.9,19.9,0.016,10.65,8.57,11.14,10.84,10.39,10.03,9,11.07,9.37,9.99,10.84,10.68,9.32,14.81,19.91,22.98,22.41,18.63,12.78,64,58,0.13,1.25,86.8,5,13.41,90.7,233.4,59.9,61.2,95.6,93.3,65.4,40.2,23.6,16.9,14.6,23.6,42.7,65.6,602.4,39.8,83.4,15.37,11.09,1039.48,14,8.5,84,100,84.1,54,63.4,0.08,11.29,1.47,0.6,4.43,42.45,76.04,24.96,71.27,5.1,29.9,65,0.27,164.39,26,68,26,0.382,0.382,0.9,170.6
15,1307000,CHAMPLIN CREEK AT ISLIP NY,7.068230066,103.5,2.809507796,22,19,1.85,40.772491,14,40.737043,122.71,122.91,10.96,11,15.78,15.9,68,68,298.6,109.4,299,109,103.3,104,9.3,7,10,7,703.1,20,0.016,10.77,8.54,11.19,10.79,10.5,10.05,9.14,10.98,9.46,9.81,10.8,10.65,9.31,14.78,19.91,23.07,22.51,18.7,12.84,21,20,0.23,1.09,86,5,12.53,99.5,228,57.4,60.1,94.1,90.3,62.3,38.2,22.9,16.9,14.1,22.1,41.2,63.3,582.9,39.8,99.8,0.91,0.41,1686.2,14,8.5,84,100,99.6,54,100,0.07,10.9,1.48,0.55,3.23,27.73,76.32,25.16,71.29,5.1,30.16,64.75,0.27,165.57,16.7,52,15,0.265,0.229,0.3,156.2
16,1307500,PENATAQUIT CREEK AT BAY SHORE NY,6.304432318,78.1,2.837963061,31,19,1.68,40.755825,11,40.72621,122.96,123.03,11.02,11.1,15.88,16,68,68,300.5,108.3,301,108,103.5,103,9,7,9,7,704.8,20.5,0.013,10.66,8.42,11.19,10.88,10.7,9.9,9.54,10.84,9.69,9.73,10.81,10.58,9.44,14.9,20.05,23.19,22.64,18.8,12.93,31,27,0.27,1.02,84.7,5.2,12.7,142.2,228,54.1,57.1,91.5,88,59.5,35.5,22,16,14,20.5,40,60,558.1,39.8,100,0.62,0.11,1921.9,14,8.5,84,100,99.6,54,100,0.08,10.73,1.48,0.71,3.57,33.14,75.72,27.18,70.82,5.53,32.87,61.61,0.28,164.52,17.8,39,17,0.427,0.405,0.2,149.5
17,1308000,SAMPAWAMS CREEK AT BABYLON NY,9.56898063,270.8,2.212809024,73,16,0.99,40.812316,58.2,40.704266,123,123.35,11.01,11.2,15.86,16,68.6,68,300.9,108.7,303,106,102.9,103,9.1,7,10,7,705.2,19.1,0.013,10.25,8.1,11.21,10.92,11.32,9.45,10.24,10.77,9.97,9.35,10.9,10.51,9.5,15.05,20.13,23.13,22.47,18.66,12.76,62,57,0.1,1.05,83.2,5,12.99,84.4,233.7,54.7,56.8,88.5,84.2,57.4,35.1,20.8,15,13.1,20.1,38.8,59,543.5,39.8,92.9,12.15,5.69,971.15,14,8.5,84,100,89.7,49,64.9,0.08,11.26,1.47,0.61,4.22,40.15,76.1,25.62,71.33,5.1,30.87,64.03,0.27,164.21,43.7,102,46,0.417,0.44,1.1,136.4
18,1308500,CARLLS RIVER AT BABYLON NY,25.38860688,455.6,6.794565814,73,17,1.54,40.785265,94.3,40.70871,123.32,123.41,11.11,11.2,15.99,16,68.9,69,302.4,107.2,304,105,103.2,103,9.7,7,10,7,709.5,19.2,0.014,10.35,8.11,11.25,10.97,11.31,9.53,10.36,10.67,10.08,9.39,10.85,10.46,9.59,15.12,20.19,23.21,22.55,18.71,12.79,64,59,0.09,1.07,82.6,4.7,12.68,93.4,229.3,52.6,55.6,86.1,81.5,55.4,34,20.3,14.4,12.9,19.3,37.9,56.9,526.8,39.8,95.7,10.87,7.7,1182.89,14,8.5,84,100,50.9,49,54.2,0.07,12.43,1.47,0.51,4.11,39.4,76.8,22.66,72.02,4.6,27.01,68.39,0.24,163.31,42,105,42,0.388,0.388,1.7,172.2
19,1309000,SANTAPOGUE CREEK AT LINDENHURST NY,4.164141874,55.1,0.410077712,23,18,1.32,40.728566,10,40.691766,123.73,123.65,11.3,11.3,16.05,16,68.9,68,304.9,104.4,305,104,103,103,10,7,10,7,714.9,19.6,0.014,10.61,8.23,11.29,11.03,11.08,9.75,10.35,10.52,10.15,9.55,10.74,10.4,9.72,15.18,20.32,23.41,22.8,18.95,13.04,22,20,0.22,1.03,81.4,5.7,13.5,142.3,228,50.6,54.4,84.5,79.7,54.2,33.1,20.1,13.6,12.1,18.3,36.4,55.2,512.2,39.8,97.7,3.72,2.14,1091.68,14,8.5,84,100,96.8,54,100,0.07,11.11,1.48,0.53,3.2,27.42,76.2,24.67,71.16,5.04,29.58,65.38,0.26,163.58,16.3,30,17,0.527,0.552,0.1,144.9
20,1309500,MASSAPEQUA CREEK AT MASSAPEQUA NY,9.133548291,584.8,1.012840952,73,19,1.38,40.781107,94.5,40.688989,123.98,124.26,11.3,11.5,16.08,16,69,69,305.5,104.8,309,102,103,103,10,6.6,10,6,718.1,17.6,0.018,10.44,8.08,11.36,11.08,11.45,9.54,10.76,10.45,10.33,9.34,10.79,10.38,9.66,15.18,20.25,23.27,22.61,18.77,12.85,62,50,0.04,1.08,76.4,4.8,12.51,88.5,233.7,50,53.4,80,74.8,51.9,32,19.2,13.2,12,17.8,34.6,53.2,491.9,137.1,93.2,12.58,10.46,1251.65,14,8.5,84,100,64.4,49,69.3,0.07,11.15,1.48,0.54,3.77,35.39,76.74,25,71.85,5,29.84,65.16,0.26,163.26,47.8,116,48,0.391,0.393,1.7,169.6
21,1310500,EAST MEADOW BROOK AT FREEPORT NY,12.03416747,1238.4,0.2005757,74,20,1.39,40.770293,78.1,40.665657,125.06,124.49,11.44,11.6,16.22,16.1,69.5,69,309.6,101.9,312,100,102.4,102,10,6.1,10,6,723.4,17.2,0.021,10.8,8.18,11.57,11.31,11.42,9.71,11.06,10.05,10.59,9.45,10.64,10.3,9.9,15.44,20.51,23.5,22.86,19.03,13.1,64,52,0.14,1.03,64.6,4.3,12.54,115.7,238.1,47.6,52.8,76.7,71.9,50.3,30.4,18.9,12.7,11.5,16.4,31.7,49.1,470,234.6,95.6,11.58,7.69,1398.31,14,8.5,84,100,90.1,49,66,0.1,8.65,1.49,0.93,3.32,35.33,75.52,38.67,69.79,6.4,49.11,44.49,0.37,162.05,45.7,102,45,0.432,0.424,0.9,172.6
22,1312000,HUDSON RIVER NEAR NEWCOMB NY,417.1783521,9940.5,24.19224326,92,5,1.29,44.024,498.2,43.966174,116.2,107.07,4.47,4.9,10.6,11.2,66.4,66,258.1,154.9,261,151,156.7,157,15.8,12,16,12,509.1,38.6,0.078,9.02,6.96,8.54,8.76,9.72,10.32,10.75,11.42,11.4,9.76,10.4,8.92,3.11,10.11,15.05,17.34,16.31,12.26,6.29,68,44,0.67,1.8,53.2,2.4,11.28,32.9,659.8,13.4,6.6,6.1,57.3,139.4,110.4,64,44.5,44.2,52.3,53.9,26.7,618.8,1.9,9.9,83.43,42.35,0.52,8,5.3,58,100,74.1,51,59.8,0.16,2.97,1.26,2.31,4.09,42.09,81.22,41.09,73.93,5.84,49.71,44.44,0.24,92.28,659.9,1622,592,0.191,0.134,15.5,224.8
23,1315000,INDIAN RIVER NEAR INDIAN LAKE NY,299.3540822,3350.7,1.683808397,102,6,1.37,43.621618,337.5,43.756453,128.74,103.77,4.15,4.3,10.97,11.3,63.9,64,257.8,157.5,258,158,151.5,139,15.3,11.1,13,10,493.4,38.2,0.043,11.11,8.09,10.31,9.58,10.86,10.73,10.61,11.2,12.18,11.1,11.79,10.23,3.62,10.53,15.21,17.63,16.71,12.74,6.81,95,60,0.61,1.36,52.5,2.7,11.35,36.7,661.6,17.4,8.8,9.5,68.1,151.5,124.7,72.1,46.5,48.7,59.5,68.2,34.3,709.3,0.3,12.6,79.78,63.52,0.53,8,5.3,58,100,87.2,51,62.7,0.17,3.17,1.25,2.38,4.16,42.02,81.28,41.02,74.26,5.87,49.37,44.76,0.25,108.67,639.7,1182,598,0.219,0.159,14.4,103.4
24,1315500,HUDSON RIVER AT NORTH CREEK NY,1611.23932,30812.5,219.3533378,110,9,1,43.833632,2058.6,43.700898,117.91,110.49,4.27,5.8,10.79,12.7,65.3,65,257.6,156.4,265,144,150.3,120,14.9,11.1,12,8,499.9,38,0.062,9.6,7.14,9.05,8.91,10.11,10.24,10.44,11.08,11.45,10.02,10.61,9.05,3.37,10.32,15.15,17.52,16.54,12.53,6.58,102,60,0.64,1.72,52.4,2.6,11.3,39,661,15.5,7.8,7.9,63,144.1,116.5,67.9,45.7,46.7,56.2,61.6,30.9,663.6,1.5,9.6,81.99,50.8,0.97,8,5.3,58,100,89.5,51,59.2,0.16,2.86,1.27,2.4,4.12,42.62,81.21,41.44,73.91,5.86,50.17,43.97,0.24,95.69,627.8,1622,587,0.25,0.219,14,91
25,1317000,SCHROON RIVER AT RIVERBANK NY,799.17179,10528.5,52.52706241,94,11,1.27,43.861513,1355.6,43.609512,114.77,110.17,5.7,6.8,11.75,13.2,65.8,67,263.1,146.7,269,138,128.4,121,12.2,8.8,12,8,548.9,35.3,0.076,8.82,6.45,9.01,9.09,10.48,10.05,10.54,11.42,10.76,9.82,10.36,8.06,4.6,11.43,16.37,18.84,17.78,13.56,7.52,62,20,0.47,1.62,50.8,2.5,11.21,44.4,658.1,13.6,6.9,11.1,75.7,132,87,50,32.8,31.1,41.3,53.7,27.1,562.4,3.5,13.7,82.63,31.92,5.13,8,5.3,58,100,88.9,51,51.3,0.14,2.95,1.33,2.2,4.27,45.39,80.57,40.34,73.38,5.86,49.1,45.04,0.21,82.54,436.6,1463,394,0.181,0.148,14.9,126.8
26,1318500,HUDSON RIVER AT HADLEY NY,2988.231238,44525.2,380.5316301,97,10,0.85,43.775707,4332.6,43.31896,116.96,112.6,5.2,7.3,11.37,13.5,65.7,67,262.1,149.4,276,130,138,125,13.5,9.9,12,9,530.6,36.5,0.06,9.43,6.91,9.25,9.12,10.3,10.13,10.54,11.09,11,9.86,10.51,8.76,4.13,10.99,15.85,18.26,17.27,13.15,7.15,88,60,0.55,1.55,51.3,2.6,11.26,41.1,660.2,14.9,7.6,11.2,73.3,138.2,101.1,58.4,38.4,37.8,47.5,57.7,29.6,615.6,3.3,11.7,82.55,41.97,4.54,8,5.3,58,100,91.1,51,55.9,0.15,3.07,1.31,2.17,4.24,44.16,80.7,40.53,73.45,5.75,49.37,44.88,0.22,90.73,520.3,1550,519,0.257,0.256,14.3,94.3
27,1319000,EAST BRANCH SACANDAGA RIVER AT GRIFFIN NY,217.9345041,11473.2,3.828232986,45,3,1.95,43.577454,292.7,43.473678,124.71,121.35,4.68,5.3,11.06,12.5,65.1,64,261.7,152.6,265,149,137.7,141,13.2,10.1,14,11,509.1,38.9,0.027,10.8,7.81,10.62,10.2,11.19,10.52,10.9,10.78,11.47,10.1,11.33,9.9,3.79,10.65,15.36,17.78,16.88,12.92,6.98,44,28,0.61,1.36,48.8,2.4,10.96,27.3,752.8,16.5,8.2,9.5,69.6,155,126.7,71.7,45.1,45.4,56.3,65.6,32.9,702.5,5.6,4.8,93.64,64.57,0.27,8,5.3,58,100,76.2,51,67.9,0.15,2.32,1.31,1.96,4.09,42.2,80.98,40.83,73.05,5.58,50.28,44.14,0.21,100.23,606.2,1084,598,0.324,0.313,17.3,190.8
28,1321000,SACANDAGA RIVER NEAR HOPE NY,1122.019656,29988.5,43.1872533,106,6,1.29,43.45654,1263.7,43.352847,131.36,123.52,4.89,6.2,11.36,12.8,64.4,65,262.6,151.8,270,141,146.8,134,14.7,10.7,13,10,515.7,38,0.023,11.57,8.54,11.07,10.28,11.37,11,10.72,11.21,12.1,10.75,12.16,10.87,4.19,11.01,15.69,18.11,17.22,13.22,7.26,98,60,0.67,2.21,48.8,2.5,11.3,36,753.3,18.1,9.1,11.5,77.3,160.9,129.8,74.2,47.6,48.3,59.8,70.1,35.7,742.3,1.6,9,84.91,59.13,1.25,8,5.3,58,100,91.6,51,71.3,0.15,2.7,1.3,2.71,4.06,43.02,80.84,39.99,73.07,5.54,49.15,45.31,0.21,111.19,580.6,1084,567,0.382,0.366,14.3,182.3
